date,product_ids,acquisition_times_utc,acquisition_time_utc,catalog_reconciled,observation_id,ndvi,ndvi_spatial_std,ndvi_sample_count,ndvi_valid_count,ndvi_valid_fraction,ndvi_accepted,ndmi,ndmi_spatial_std,ndmi_sample_count,ndmi_valid_count,ndmi_valid_fraction,ndmi_accepted,vegetation,vegetation_spatial_std,vegetation_sample_count,vegetation_valid_count,vegetation_valid_fraction,vegetation_accepted,rejection_reason
2025-05-02,S2A_MSIL2A_20250502T093051_N0511_R136_T34TEM_20250502T155814.SAFE;S2B_MSIL2A_20250502T092029_N0511_R093_T34TEM_20250502T121809.SAFE,2025-05-02T09:28:58.082Z;2025-05-02T09:39:06.143Z,,False,S2A_MSIL2A_20250502T093051_N0511_R136_T34TEM_20250502T155814.SAFE;S2B_MSIL2A_20250502T092029_N0511_R093_T34TEM_20250502T121809.SAFE,0.2303017309462856,0.21946259367300328,2352,2352,1.0,False,0.0298890691917414,0.1031038168294987,2352,2352,1.0,False,0.16496598639455776,0.3711498480767954,2352,2352,1.0,False,unreconciled_or_multiple_acquisitions
2025-05-05,S2B_MSIL2A_20250505T093039_N0511_R136_T34TEM_20250505T123358.SAFE,2025-05-05T09:38:54.247Z,2025-05-05T09:38:54.247Z,True,S2B_MSIL2A_20250505T093039_N0511_R136_T34TEM_20250505T123358.SAFE,,,2352,0,0.0,False,,,2352,0,0.0,False,,,2352,0,0.0,False,insufficient_valid_ndmi
2025-05-07,S2C_MSIL2A_20250507T092051_N0511_R093_T34TEM_20250507T120216.SAFE,2025-05-07T09:29:16.135Z,2025-05-07T09:29:16.135Z,True,S2C_MSIL2A_20250507T092051_N0511_R093_T34TEM_20250507T120216.SAFE,,,2352,0,0.0,False,,,2352,0,0.0,False,,,2352,0,0.0,False,insufficient_valid_ndmi
2025-05-09,S2A_MSIL2A_20250509T092231_N0511_R093_T34TEM_20250509T115912.SAFE,2025-05-09T09:29:08.327Z,2025-05-09T09:29:08.327Z,True,S2A_MSIL2A_20250509T092231_N0511_R093_T34TEM_20250509T115912.SAFE,,,2352,0,0.0,False,,,2352,0,0.0,False,,,2352,0,0.0,False,insufficient_valid_ndmi
2025-05-10,S2C_MSIL2A_20250510T093051_N0511_R136_T34TEM_20250510T151513.SAFE,2025-05-10T09:39:11.093Z,2025-05-10T09:39:11.093Z,True,S2C_MSIL2A_20250510T093051_N0511_R136_T34TEM_20250510T151513.SAFE,0.22044621063069655,0.19692166513929601,2352,1225,0.5208333333333334,True,0.028555537218617606,0.10412064348704403,2352,1225,0.5208333333333334,True,0.15265306122448974,0.3596527549224139,2352,1225,0.5208333333333334,True,
2025-05-12,S2A_MSIL2A_20250512T093141_N0511_R136_T34TEM_20250512T115942.SAFE;S2B_MSIL2A_20250512T092029_N0511_R093_T34TEM_20250512T122448.SAFE,2025-05-12T09:28:57.077Z;2025-05-12T09:39:05.846Z,,False,S2A_MSIL2A_20250512T093141_N0511_R136_T34TEM_20250512T115942.SAFE;S2B_MSIL2A_20250512T092029_N0511_R093_T34TEM_20250512T122448.SAFE,,,2352,0,0.0,False,,,2352,0,0.0,False,,,2352,0,0.0,False,unreconciled_or_multiple_acquisitions
2025-05-15,S2B_MSIL2A_20250515T093029_N0511_R136_T34TEM_20250515T114912.SAFE,2025-05-15T09:38:52.476Z,2025-05-15T09:38:52.476Z,True,S2B_MSIL2A_20250515T093029_N0511_R136_T34TEM_20250515T114912.SAFE,0.2335203545455172,0.19241780543029702,2352,2352,1.0,True,0.04391083409889835,0.09709933738111441,2352,2352,1.0,True,0.12840136054421777,0.3345361731630997,2352,2352,1.0,True,
2025-05-17,S2C_MSIL2A_20250517T092051_N0511_R093_T34TEM_20250517T150713.SAFE,2025-05-17T09:29:13.041Z,2025-05-17T09:29:13.041Z,True,S2C_MSIL2A_20250517T092051_N0511_R093_T34TEM_20250517T150713.SAFE,0.22509346761061294,0.22584147947982566,2352,1852,0.7874149659863946,True,0.03818608493511381,0.11580706630444323,2352,1852,0.7874149659863946,True,0.1312095032397409,0.3376293374387378,2352,1852,0.7874149659863946,True,
2025-05-19,S2A_MSIL2A_20250519T092041_N0511_R093_T34TEM_20250519T125816.SAFE,2025-05-19T09:29:11.882Z,2025-05-19T09:29:11.882Z,True,S2A_MSIL2A_20250519T092041_N0511_R093_T34TEM_20250519T125816.SAFE,,,2352,0,0.0,False,,,2352,0,0.0,False,,,2352,0,0.0,False,insufficient_valid_ndmi
2025-05-20,S2C_MSIL2A_20250520T093051_N0511_R136_T34TEM_20250520T121812.SAFE,2025-05-20T09:39:10.299Z,2025-05-20T09:39:10.299Z,True,S2C_MSIL2A_20250520T093051_N0511_R136_T34TEM_20250520T121812.SAFE,0.2229438615720713,0.20647426902074892,2352,2352,1.0,True,0.027068676889370306,0.10177546432009117,2352,2352,1.0,True,0.13818027210884348,0.3450890964791114,2352,2352,1.0,True,
