date,precipitation_mm,rain_mm,snowfall_cm,et0_mm,temperature_min_c
2025-05-01,0.1,0.1,0.0,5.09,10.8
2025-05-02,0.2,0.2,0.0,5.39,11.5
2025-05-03,0.0,0.0,0.0,5.16,9.9
2025-05-04,0.0,0.0,0.0,5.03,12.2
2025-05-05,0.2,0.2,0.0,3.93,13.6
2025-05-06,3.9,3.9,0.0,3.65,14.3
2025-05-07,5.3,5.3,0.0,3.65,12.4
2025-05-08,0.0,0.0,0.0,4.06,11.1
2025-05-09,1.3,1.3,0.0,3.58,10.5
2025-05-10,1.3,1.3,0.0,4.7,10.7
2025-05-11,0.7,0.7,0.0,4.39,8.9
2025-05-12,0.2,0.2,0.0,3.89,12.5
2025-05-13,0.0,0.0,0.0,3.65,10.1
2025-05-14,0.0,0.0,0.0,4.89,6.3
2025-05-15,2.4,2.4,0.0,4.4,9.4
2025-05-16,25.7,25.7,0.0,0.73,8.0
2025-05-17,0.6,0.6,0.0,2.86,8.5
2025-05-18,0.0,0.0,0.0,4.77,6.4
2025-05-19,0.2,0.2,0.0,4.51,7.9
2025-05-20,0.0,0.0,0.0,4.73,11.8
2025-05-21,1.0,1.0,0.0,3.81,14.3
2025-05-22,0.0,0.0,0.0,4.09,15.2
2025-05-23,0.0,0.0,0.0,5.2,13.6
2025-05-24,6.0,6.0,0.0,2.02,11.9
2025-05-25,6.0,6.0,0.0,1.56,8.6
2025-05-26,0.0,0.0,0.0,5.31,7.8
2025-05-27,0.0,0.0,0.0,5.32,13.7
2025-05-28,0.0,0.0,0.0,4.61,12.1
2025-05-29,2.6,2.6,0.0,2.74,10.6
2025-05-30,0.3,0.3,0.0,3.59,14.7
2025-05-31,0.0,0.0,0.0,4.54,13.0
2025-06-01,0.0,0.0,0.0,5.45,10.1
2025-06-02,0.0,0.0,0.0,5.74,12.1
2025-06-03,0.0,0.0,0.0,5.34,14.8
2025-06-04,0.0,0.0,0.0,5.62,16.1
2025-06-05,5.1,5.1,0.0,5.07,18.9
2025-06-06,0.4,0.4,0.0,5.94,17.8
2025-06-07,0.0,0.0,0.0,5.93,17.4
2025-06-08,0.0,0.0,0.0,6.28,17.1
2025-06-09,0.0,0.0,0.0,6.71,18.4
2025-06-10,0.0,0.0,0.0,6.05,17.4
2025-06-11,0.1,0.1,0.0,5.84,18.7
2025-06-12,0.0,0.0,0.0,6.84,18.5
2025-06-13,0.0,0.0,0.0,6.98,16.6
2025-06-14,0.0,0.0,0.0,7.08,15.2
2025-06-15,0.0,0.0,0.0,6.82,13.7
2025-06-16,0.0,0.0,0.0,6.88,12.9
2025-06-17,0.0,0.0,0.0,6.49,15.5
2025-06-18,0.2,0.2,0.0,6.08,18.9
2025-06-19,0.1,0.1,0.0,5.75,18.2
2025-06-20,0.1,0.1,0.0,6.28,21.2
2025-06-21,0.0,0.0,0.0,7.16,18.0
2025-06-22,0.0,0.0,0.0,6.38,13.5
2025-06-23,0.0,0.0,0.0,6.4,12.8
2025-06-24,0.0,0.0,0.0,6.64,15.5
2025-06-25,0.0,0.0,0.0,6.39,17.9
2025-06-26,0.0,0.0,0.0,6.75,19.7
2025-06-27,2.7,2.7,0.0,5.87,19.6
2025-06-28,0.0,0.0,0.0,6.78,22.1
2025-06-29,0.0,0.0,0.0,7.24,20.5
2025-06-30,0.0,0.0,0.0,6.36,19.2
2025-07-01,0.0,0.0,0.0,7.48,20.4
2025-07-02,0.0,0.0,0.0,7.44,18.2
2025-07-03,0.0,0.0,0.0,6.57,16.9
2025-07-04,0.0,0.0,0.0,6.73,17.9
2025-07-05,0.0,0.0,0.0,6.46,18.1
2025-07-06,0.2,0.2,0.0,6.65,20.0
2025-07-07,0.0,0.0,0.0,7.18,22.5
2025-07-08,0.6,0.6,0.0,6.41,19.6
2025-07-09,0.4,0.4,0.0,5.35,17.2
2025-07-10,0.0,0.0,0.0,3.94,16.8
2025-07-11,0.1,0.1,0.0,4.77,14.4
2025-07-12,0.0,0.0,0.0,5.03,14.2
2025-07-13,0.0,0.0,0.0,5.95,16.1
2025-07-14,0.0,0.0,0.0,5.91,18.3
2025-07-15,0.2,0.2,0.0,6.38,23.1
2025-07-16,0.0,0.0,0.0,6.09,20.4
2025-07-17,0.9,0.9,0.0,5.48,18.7
2025-07-18,0.0,0.0,0.0,5.72,18.0
2025-07-19,0.0,0.0,0.0,6.19,17.3
2025-07-20,0.2,0.2,0.0,5.92,17.6
2025-07-21,0.0,0.0,0.0,6.26,19.2
2025-07-22,0.0,0.0,0.0,6.54,20.4
2025-07-23,0.0,0.0,0.0,6.94,22.7
2025-07-24,0.0,0.0,0.0,6.2,23.2
2025-07-25,0.0,0.0,0.0,7.11,22.4
2025-07-26,0.0,0.0,0.0,6.95,23.6
2025-07-27,0.0,0.0,0.0,6.7,24.0
2025-07-28,0.0,0.0,0.0,5.72,22.0
2025-07-29,0.4,0.4,0.0,4.84,21.3
